Codigo,Densidade_cal,Proteinas,Carboidratos,Lipideos,FP_Caseinato,FP_Soro,FP_Larginina,FP_Soja,FC_Maltodextrina,FC_Amido,FL_Canola,FL_Girassol,FL_TCM,FL_Soja,FL_Linhaca,FL_Peixe,FL_Milho,FL_Lecitina,FL_Graxos,FL_Acafrao,Fibras ,Fibras_Soluveis,Fibras_Insoluveis,Relacao_Kcal_naoproteica,Osmolaridade,Osmolalidade,Valor_Calorico,Proteinas,Carboidratos,Gorduras_Totais,Gorduras_Saturadas,Gorduras_trans,Fibras,Soluveis,Insoluveis,Calcio,Ferro,Sodio,Potassio,Cloro,Fosforo,Magnesio,Zinco,Cobre,Manganes,Fluor,Molibidenio,Selenio,Cromo,Iodo,Vitamina_A,Carotenoides,Vitamina_D,Vitamina_E,Vitamina_K,Vitamina_B1,Vitamina_B2,Niacina,Acido_Pantotenico,Vitamina_B6,Acido_Folico,Vitamina_B12,Biotina,Vitamina_C,Colina,Taurina,L_Carnitina,Arginina
40,1.28,23,50,27,100,0,0,0,100,0,60,40,0,0,0,0,0,0,0,0,15,7,8,82,270,340,128,7.5,15,3.7,0.4,0,1.5,0.7,0.8,112,2,81,150,130,91,22,1.5,230,0.41,0.13,13,7.5,8.3,17,95,0,0.88,1.5,6.1,0.19,0.2,2.3,0.66,0.21,33,0.3,5,13,46,0,0,0
30,1.5,20,45,35,80,20,0,0,100,0,0,0,57,37,3,3,0,0,0,0,0,0,0,102,300,400,150,7.5,17,5.8,3.7,0,0,0,0,80,1.33,120,234,184,63,27,1.2,130,0.27,0.13,10,6.7,6.7,13.3,70,130,1,1.33,6.67,0.13,0.17,1.6,0.47,0.16,27,0.27,5,6.7,26.7,0,0,0
50,1.3,20.5,54.5,25,65,25,10,0,100,0,40,0,40,0,0,0,16,4,0,0,0,0,0,97,304,385,130,6.7,17.7,3.7,1.7,0,0,0,0,87,1.6,104,173,165,87,35,2,180,0.44,0,13.5,6.1,10.5,13.5,149,0,0.8,2.7,7,0.2,0.23,2.7,1.4,0.27,52.5,0.79,39.5,26.5,52,14,14,805.9
1,1.5,17,41,42,84,0,0,16,100,0,41,0,24,32,0,0,0,3,0,0,8,8,0,120,308,400,146,6.3,15,6.8,2,0,0.8,0.8,0,80,1.8,145,220,95,65,25,1.2,120,0.3,0,8,7,3.4,21,90,0,1.2,3.2,10,0.3,0.15,2,0.8,0.22,30,0.35,4,11,90,0,0,0
7,1.24,21,45,34,88,0,0,12,100,0,39,41,9,0,0,0,0,6,5,0,0,0,0,95,310,391,124,6.5,14,4.7,1,0,0,0,0,100,1.3,105,160,65,85,23,0.9,90,0.28,0,9.2,4.5,3.3,14,58,0,1,3,9.2,0.16,0.13,1.3,0.52,0.15,25,0.3,3.5,5.3,73,0,0,0
8,1.2,18.5,52.5,29,100,0,0,0,100,0,28,0,19,0,0,0,0,5,0,48,0,0,0,110,295,360,120,5.6,15.8,3.9,0.98,0,0,0,0,120,1.8,134,181,154,120,40,2.3,200,0.5,0,15,7,12,15,84,0,1,3,8,2.3,2.6,3,1.5,0.3,60,0.93,45,30,60,15,15,0
13,1.5,16,48,36,100,0,0,0,100,0,17,0,24,57,0,0,0,2,0,0,20,20,0,134,335,440,150,6,18,6,1.9,0,2,2,0,60,1.1,121,126,130,71,25,0.9,61,0.19,0,8,5.5,4.4,12,60,0,1.2,1.8,14,0.18,0.14,1.1,0.5,0.14,22,0.24,2.2,11,60,0,0,0
14,1.54,18,49,33,0,100,0,0,94,6,0,0,78,16,0,0,0,6,0,0,0,0,0,119,424,550,154,6.8,19,5.6,3.5,0,0,0,0,100,3,103,187,175,100,40,3.8,300,0.4,0,24,11,6,34,130,30,2.5,5,15,0.62,0.5,4.2,3.8,0.9,105,1.6,85,45,100,22,15,0
